346	416	388	482
415	501	281	400
598	640	87	389
781	557	240	642
553	744	218	579
465	629	567	868
443	414	192	462
178	289	201	272
337	265	258	739
457	815	355	504
77	228	506	520
512	803	222	492
246	348	418	440
248	301	501	625
404	522	435	478
329	268	459	708
247	481	434	519
283	443	532	615
357	517	75	208
363	414	194	612
367	326	295	358
510	576	368	417
500	601	89	473
276	411	193	351
294	295	388	641
383	384	449	599
230	218	363	487
527	451	402	747
270	229	226	404
339	295	466	585
